name,pod_count,cpu_request,cpu_limit,mem_request,mem_limit,action
faint-taco,11,1000m,1000m,2.0Gi,2Gi,add
late-manuscript,5,1000m,1000m,2.0Gi,2Gi,add
flush-walk,7,1000m,1000m,2.0Gi,2Gi,add
lean-permutation,9,1000m,1000m,2.0Gi,2Gi,add
crabby-isotope,11,1000m,1000m,2.0Gi,2Gi,add
tart-source,13,1000m,1000m,2.0Gi,2Gi,add
brave-comptroller,15,1000m,1000m,2.0Gi,2Gi,add
silly-diver,14,1000m,1000m,2.0Gi,2Gi,add
vibrant-coda,5,1000m,1000m,2.0Gi,2Gi,add
yellow-algorithm,15,1000m,1000m,2.0Gi,2Gi,add
giant-capacity,6,1000m,1000m,2.0Gi,2Gi,add
worn-admin,13,1000m,1000m,2.0Gi,2Gi,add
swift-codec,5,1000m,1000m,2.0Gi,2Gi,add
milky-space,13,1000m,1000m,2.0Gi,2Gi,add
adaptive-sap,5,1000m,1000m,2.0Gi,2Gi,add
bitter-bed,14,1000m,1000m,2.0Gi,2Gi,add
clean-buck,5,1000m,1000m,2.0Gi,2Gi,add
nice-batch,6,1000m,1000m,2.0Gi,2Gi,add
corporate-magnitude,7,1000m,1000m,2.0Gi,2Gi,add
aged-space,7,1000m,1000m,2.0Gi,2Gi,add
acidic-condominium,10,1000m,1000m,2.0Gi,2Gi,add
resolving-door,10,1000m,1000m,2.0Gi,2Gi,add
active-event,6,1000m,1000m,2.0Gi,2Gi,add
glum-class,5,1000m,1000m,2.0Gi,2Gi,add
descriptive-wattage,7,1000m,1000m,2.0Gi,2Gi,add
augmenting-formation,6,1000m,1000m,2.0Gi,2Gi,add
refined-queso,15,1000m,1000m,2.0Gi,2Gi,add
frosty-grapnel,7,1000m,1000m,2.0Gi,2Gi,add
pounded-bookshelf,10,1000m,1000m,2.0Gi,2Gi,add
arid-snare,14,1000m,1000m,2.0Gi,2Gi,add
solid-rotor,5,1000m,1000m,2.0Gi,2Gi,add
rubbery-analogy,14,1000m,1000m,2.0Gi,2Gi,add
tomato-burbot,5,1000m,1000m,2.0Gi,2Gi,add
