name,pod_count,cpu_request,cpu_limit,mem_request,mem_limit,action
glad-desert,14,1000m,1000m,2.0Gi,2Gi,add
full-image,14,1000m,1000m,2.0Gi,2Gi,add
grouchy-dust,13,1000m,1000m,2.0Gi,2Gi,add
asphalt-primer,15,1000m,1000m,2.0Gi,2Gi,add
concrete-analog,12,1000m,1000m,2.0Gi,2Gi,add
magnetic-silver,15,1000m,1000m,2.0Gi,2Gi,add
internal-action,15,1000m,1000m,2.0Gi,2Gi,add
glass-cotija,5,1000m,1000m,2.0Gi,2Gi,add
immense-dingo,9,1000m,1000m,2.0Gi,2Gi,add
caramelized-scarfing,12,1000m,1000m,2.0Gi,2Gi,add
relaxed-ravvet,11,1000m,1000m,2.0Gi,2Gi,add
amicable-dailies,13,1000m,1000m,2.0Gi,2Gi,add
stringy-jump,8,1000m,1000m,2.0Gi,2Gi,add
pale-dune,13,1000m,1000m,2.0Gi,2Gi,add
shiny-sub,15,1000m,1000m,2.0Gi,2Gi,add
endothermic-growth,11,1000m,1000m,2.0Gi,2Gi,add
full-gram,9,1000m,1000m,2.0Gi,2Gi,add
mint-angel,7,1000m,1000m,2.0Gi,2Gi,add
marinated-pit,8,1000m,1000m,2.0Gi,2Gi,add
giant-representative,9,1000m,1000m,2.0Gi,2Gi,add
kind-actuary,5,1000m,1000m,2.0Gi,2Gi,add
radiant-loser,14,1000m,1000m,2.0Gi,2Gi,add
offline-globe,9,1000m,1000m,2.0Gi,2Gi,add
fresh-root,10,1000m,1000m,2.0Gi,2Gi,add
broad-banquette,6,1000m,1000m,2.0Gi,2Gi,add
mild-chateau,14,1000m,1000m,2.0Gi,2Gi,add
dynamic-taco,11,1000m,1000m,2.0Gi,2Gi,add
hot-fascia,6,1000m,1000m,2.0Gi,2Gi,add
