name,pod_count,cpu_request,cpu_limit,mem_request,mem_limit,action
archaic-load,7,1000m,1000m,2.0Gi,2Gi,add
obliging-dimension,15,1000m,1000m,2.0Gi,2Gi,add
strong-sage,14,1000m,1000m,2.0Gi,2Gi,add
callous-plisse,7,1000m,1000m,2.0Gi,2Gi,add
isometric-ghost,14,1000m,1000m,2.0Gi,2Gi,add
universal-inlay,7,1000m,1000m,2.0Gi,2Gi,add
mild-phantasm,14,1000m,1000m,2.0Gi,2Gi,add
direct-conflict,7,1000m,1000m,2.0Gi,2Gi,add
sunny-caliper,7,1000m,1000m,2.0Gi,2Gi,add
insulated-theme,14,1000m,1000m,2.0Gi,2Gi,add
chilly-exit,13,1000m,1000m,2.0Gi,2Gi,add
smoked-curry,11,1000m,1000m,2.0Gi,2Gi,add
blue-finger,13,1000m,1000m,2.0Gi,2Gi,add
average-shrine,10,1000m,1000m,2.0Gi,2Gi,add
soft-acorn,6,1000m,1000m,2.0Gi,2Gi,add
mode-causeway,10,1000m,1000m,2.0Gi,2Gi,add
muted-sempre,13,1000m,1000m,2.0Gi,2Gi,add
graceful-grouper,12,1000m,1000m,2.0Gi,2Gi,add
watery-bamboo,5,1000m,1000m,2.0Gi,2Gi,add
light-export,14,1000m,1000m,2.0Gi,2Gi,add
wide-heater,9,1000m,1000m,2.0Gi,2Gi,add
strong-monomer,11,1000m,1000m,2.0Gi,2Gi,add
brute-force-sample,14,1000m,1000m,2.0Gi,2Gi,add
poky-double,11,1000m,1000m,2.0Gi,2Gi,add
joint-property,12,1000m,1000m,2.0Gi,2Gi,add
undecidable-conflict,6,1000m,1000m,2.0Gi,2Gi,add
burgundy-commission,9,1000m,1000m,2.0Gi,2Gi,add
matte-canon,14,1000m,1000m,2.0Gi,2Gi,add
convoluted-sound,13,1000m,1000m,2.0Gi,2Gi,add
