name,pod_count,cpu_request,cpu_limit,mem_request,mem_limit,action
factorial-assumption,8,1000m,1000m,2.0Gi,2Gi,add
dynamic-filet,7,1000m,1000m,2.0Gi,2Gi,add
nutritious-light,8,1000m,1000m,2.0Gi,2Gi,add
maroon-store,14,1000m,1000m,2.0Gi,2Gi,add
beveled-frieze,10,1000m,1000m,2.0Gi,2Gi,add
either-sale,15,1000m,1000m,2.0Gi,2Gi,add
national-tributary,15,1000m,1000m,2.0Gi,2Gi,add
level-sickbay,10,1000m,1000m,2.0Gi,2Gi,add
antique-vector,5,1000m,1000m,2.0Gi,2Gi,add
atomic-mesa,6,1000m,1000m,2.0Gi,2Gi,add
energetic-area,15,1000m,1000m,2.0Gi,2Gi,add
respectful-python,8,1000m,1000m,2.0Gi,2Gi,add
exact-boom,6,1000m,1000m,2.0Gi,2Gi,add
endothermic-outboard,8,1000m,1000m,2.0Gi,2Gi,add
piquant-bear,9,1000m,1000m,2.0Gi,2Gi,add
great-lot,12,1000m,1000m,2.0Gi,2Gi,add
trite-symmetry,12,1000m,1000m,2.0Gi,2Gi,add
few-velocity,11,1000m,1000m,2.0Gi,2Gi,add
latent-cabinet,11,1000m,1000m,2.0Gi,2Gi,add
wide-script,9,1000m,1000m,2.0Gi,2Gi,add
steel-pintail,5,1000m,1000m,2.0Gi,2Gi,add
null-quasar,5,1000m,1000m,2.0Gi,2Gi,add
pink-cover,13,1000m,1000m,2.0Gi,2Gi,add
sunny-loader,10,1000m,1000m,2.0Gi,2Gi,add
adjacent-ambient,6,1000m,1000m,2.0Gi,2Gi,add
brass-limit,5,1000m,1000m,2.0Gi,2Gi,add
free-grenade,9,1000m,1000m,2.0Gi,2Gi,add
nippy-amberjack,6,1000m,1000m,2.0Gi,2Gi,add
inverted-stack,11,1000m,1000m,2.0Gi,2Gi,add
silly-pigment,6,1000m,1000m,2.0Gi,2Gi,add
cheesy-jacquard,14,1000m,1000m,2.0Gi,2Gi,add
caramelized-alert,12,1000m,1000m,2.0Gi,2Gi,add
graceful-gabardine,14,1000m,1000m,2.0Gi,2Gi,add
